SERIAL;JOUR;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A7_0;A7_1;A7_2;A7_3;A7_4;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;ALEA;D1;D2;D3;D4_0;D4_1;D4_2;D5;D6
1;1;1;1;7;24;9;1;5;8;3;1;8;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;1;10;1;3;1;1;1;1;1;1;6;50;2;;;;;0;3;;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;24;9;4;2;0;0;4;1;1;1;2;1;1;1;1;1
2;1;1;2;1;69;11;4;8;8;1;10;8;3;1;5;1;;2;;2;1;2;2;2;2;2;1;2;2;8;1;2;1;1;2;1;1;1;4;45;1;;;;;3;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;2;42;11;8;5;1;0;6;1;1;1;3;1;1;1;1;1
3;1;3;1;7;45;2;4;1;5;2;2;6;5;2;;3;;2;;2;2;2;1;2;2;2;2;2;2;8;1;6;1;2;2;1;1;1;6;45;1;;;;;15;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;45;2;6;2;0;0;4;2;1;2;2;1;3;3;1;1
4;1;1;2;2;95;1;3;8;8;2;5;2;9;1;3;3;;2;;2;1;2;2;1;2;2;2;2;2;7;1;2;1;1;4;2;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;1;3;2;;;;;1;95;1;2;2;0;0;6;2;3;4;1;1;1;1;1;1
5;1;1;1;4;75;1;5;1;5;3;5;8;11;1;2;1;;2;;2;2;2;2;1;1;1;1;1;1;5;2;1;1;3;2;7;6;2;3;0;;;;;;0;5;;2;2;2;3;2;2;2;2;2;2;2;2;2;;;;1;75;1;;2;1;0;4;2;3;2;2;2;2;2;2;2
6;1;1;1;1;44;7;4;8;8;1;1;3;10;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;1;6;60;2;;;;;2;2;;2;2;2;2;2;2;2;2;3;3;3;4;;;;;2;44;7;7;4;0;0;4;2;1;1;2;1;1;1;1;2
7;1;1;1;3;53;7;1;2;4;3;3;8;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;1;1;1;2;5;90;1;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;4;3;3;;;;1;53;7;7;5;3;0;6;2;4;2;1;1;1;1;1;3
8;1;2;1;5;45;2;1;3;3;3;1;8;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;2;4;420;1;4;;;;6;3;;2;2;2;2;2;2;2;2;3;2;1;4;1;2;3;;1;45;2;6;4;2;0;6;1;5;5;3;2;1;1;1;1
9;1;1;2;9;83;12;4;7;7;3;2;6;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;83;12;4;2;0;2;4;2;1;1;2;1;1;1;1;1
10;1;2;1;1;42;11;2;8;8;7;1;3;7;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;3;3;7;4;3;3;3;3;4;0;;;;;;5;1;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;42;11;;5;2;3;1;1;3;2;2;2;2;2;2;2
11;1;2;1;2;6;12;4;1;5;2;1;2;8;1;5;2;;2;;2;2;2;1;1;1;2;3;2;2;10;2;1;3;2;2;1;3;1;3;480;2;4;;;;4;2;;2;2;2;3;3;2;1;2;3;2;2;2;1;;;;1;6;12;2;2;0;0;4;1;2;2;2;1;1;1;1;1
12;1;3;2;4;35;8;1;6;8;3;1;7;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;35;8;5;4;2;0;5;1;1;3;1;1;1;1;1;1
13;1;2;2;3;92;1;5;2;5;3;7;1;4;2;;1;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;4;1;1;5;1;1;1;240;4;;;;;1;2;2;2;2;2;2;2;2;2;2;3;3;3;4;1;;;;1;92;1;1;2;0;0;1;1;1;1;2;2;2;3;1;1
14;1;1;1;8;50;4;3;1;6;2;1;2;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;6;3;600;4;;;;;0;2;;2;2;2;2;2;2;2;2;3;1;3;3;1;;;;1;50;4;6;1;0;0;3;2;1;2;3;1;1;1;1;1
15;1;1;1;3;91;1;5;1;3;3;10;9;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;3;1;1;1;1;1;1;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;91;1;5;4;2;0;5;2;1;1;2;1;1;1;1;1
