SERIAL;JOURV2;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D7_0;D7_1;D7_2;D8_0;D8_1;D8_2;D9;D10;D11_0;D11_1;D11_2;D11_3;D11_4;D11_5;D11_6;D12;D13;D14_0;D14_1;D14_2;D14_3;D14_4;D14_5;D14_6;D14_7;D14_8;D14_9;D14_10
1;1;2;2;3;59;5;4;1;3;3;3;1;4;2;;3;;2;2;;2;2;2;1;1;1;2;1;2;2;2;8;1;3;1;1;1;1;1;1;5;60;2;;;;;0;2;1;2;2;2;2;2;2;2;2;2;3;3;2;3;;;;1;59;5;5;3;1;0;6;5;5;1;;;;2;1;1;1;2;3;2;1;4;1;3;2;2;2;1;1;1;2;1;1;1;1
2;1;1;1;1;40;9;3;8;8;1;3;1;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;2;1;1;1;1;2;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;4;4;;;;;2;16;9;11;3;0;0;6;3;3;1;;;;3;2;1;2;2;3;2;2;3;3;2;1;2;2;2;1;1;1;1;1;1;2
3;1;2;1;1;95;1;3;3;2;2;1;6;3;2;;3;;2;2;;1;2;1;2;2;2;2;2;2;2;2;5;1;3;1;1;2;4;1;1;3;15;1;;;;;10;2;;2;2;2;3;2;2;2;2;3;3;4;3;2;;;;1;95;1;10;3;0;0;6;2;3;1;;;;4;2;2;1;2;3;3;1;4;4;1;2;1;4;3;1;1;1;1;1;1;3
4;1;2;1;1;80;5;1;1;5;3;3;5;8;1;3;1;;1;1;38.7;1;2;1;1;1;2;2;2;1;2;1;10;1;1;1;1;1;1;1;3;2;60;3;;;;;135;2;;1;2;1;2;2;2;2;2;1;1;1;2;1;;;;1;80;5;7;2;2;0;4;;;;2;1;3;1;3;1;1;1;4;3;1;4;;4;1;1;3;4;3;3;2;3;1;1;1
5;1;1;1;4;83;12;4;1;5;5;2;8;3;2;;3;;2;2;;2;2;2;2;1;2;2;2;1;2;2;5;2;2;1;4;1;1;1;2;6;65;1;3;;;;2;3;;2;2;2;2;2;1;2;2;4;2;4;3;1;;;;1;83;12;5;3;2;0;5;3;5;1;;;;3;2;1;2;5;2;2;1;4;2;1;1;2;2;3;1;1;1;1;1;1;2
6;1;1;2;10;46;10;1;7;7;3;1;2;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;5;2;1;1;1;1;1;6;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;46;10;4;2;0;0;3;5;2;1;;;;3;2;3;1;1;2;1;1;4;2;4;1;1;1;1;1;2;1;1;1;2;1
7;1;1;1;3;59;5;4;1;5;1;3;8;4;1;3;3;;1;2;;1;2;1;2;2;1;2;1;2;2;2;5;4;6;2;6;1;1;1;1;6;80;1;;;;;0;2;;2;2;1;2;2;2;2;2;3;3;4;3;3;;;;1;59;5;2;1;0;0;6;;;;2;4;1;4;3;3;1;2;3;3;2;2;;2;2;1;4;3;2;1;1;1;2;1;2
8;1;3;2;7;91;1;5;1;4;1;1;8;3;2;;3;;2;2;;1;2;2;1;2;2;2;2;1;1;2;7;1;3;2;2;1;1;1;1;6;90;1;;;;;50;3;2;2;2;2;2;2;2;2;2;4;3;3;4;5;;;;1;91;1;3;1;0;0;5;5;5;1;;;;2;1;2;1;1;3;2;1;3;5;2;1;1;1;1;1;1;1;2;1;1;1
9;1;1;1;1;78;1;5;8;8;1;1;3;8;3;;3;;2;2;;3;3;3;3;3;3;3;3;3;3;3;6;1;1;1;1;1;1;1;1;1;0;;;;;;3;5;;3;3;3;3;3;3;3;3;4;4;4;4;;;;;1;78;1;4;3;3;0;5;;;;;;;4;5;5;5;5;5;5;5;5;;5;2;2;2;2;3;2;2;3;3;2;2
10;1;1;2;6;62;5;4;1;4;3;1;8;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;2;2;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;6;;;;1;62;5;8;3;1;0;6;4;3;1;;;;3;1;2;1;1;2;1;1;3;4;2;1;1;2;2;1;2;2;1;1;3;1
