SERIAL;JOURV4;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C3BIS;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D30_0;D30_1;D30_2;D30_3;D30_4;D31_0;D31_1;D31_2;D32_0;D32_1;D32_2;D33_0;D33_1;D33_2;D33_3;D33_4;D33_5;D33B_0;D33B_1;D33B_2;D33B_3;D34_0;D34_1;D35;D36;D37_0;D37_1;D37_2;D38_0;D38_1;D38_2;D38_3;D39;D40_0;D40_1;D40_2;D41_0;D41_1
1;1;1;2;10;81;10;3;7;7;3;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;6;0;;;;;;0;1;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;81;10;5;2;0;1;4;1;1;2;1;1;;;;;;;;;;;;;5;;;3;3;3;5;5;3;1;1;2;1;1;1;4;1;1;4;3;3
2;1;1;2;5;33;9;2;2;5;2;2;1;3;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;2;1;2;1;1;1;6;0;;;;;;0;4;2;3;2;2;2;2;2;2;2;2;4;3;4;4;4;6;;;;1;33;9;3;2;0;0;4;1;3;3;1;2;;;;3;1;1;4;5;5;5;5;5;;;;;3;3;3;5;3;2;2;2;1;1;1;4;2;2;3;3;2
3;1;2;2;5;80;5;3;1;5;2;8;7;11;1;2;;2;;1;2;;2;1;1;1;1;2;2;1;1;1;2;9;1;1;1;1;1;1;1;2;2;150;1;2;;;;0;4;2;1;2;2;2;2;2;2;2;2;3;3;3;4;4;5;;;;1;80;5;2;1;0;0;5;1;5;2;2;2;;;;1;1;1;6;3;2;2;5;5;;;;;3;5;5;3;2;1;2;1;1;1;1;4;1;1;3;4;4
4;1;1;2;9;35;8;1;7;7;3;4;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;1;1;1;3;60;3;;;;;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;1;35;8;4;2;0;0;3;1;1;1;1;1;;;;;;;;;;;;;4;;;4;3;4;5;5;3;1;3;1;1;1;1;2;1;2;1;3;3
5;1;1;1;10;30;10;2;7;7;3;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;2;2;1;1;1;2;6;0;;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;30;10;4;2;0;1;3;1;1;1;6;1;;;;;;;;;;;;;3;;;3;3;3;5;5;3;2;3;1;1;1;1;4;2;2;3;3;3
6;1;2;1;4;77;1;5;3;5;1;4;10;11;2;;2;1;2;2;1;39.0;1;2;2;1;1;2;2;2;1;2;1;10;1;1;1;1;1;1;2;1;1;0;;;;;;1;2;;1;2;2;2;2;2;1;1;2;2;2;2;1;2;1;;;;1;77;1;2;1;0;0;3;1;1;1;1;1;1;1;1;;;;1;1;1;1;1;1;;;;;3;3;2;1;1;2;1;1;1;2;2;3;2;3;2;4;4
7;1;1;1;8;59;5;2;1;3;3;1;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;2;4;4;1;1;1;7;3;90;1;2;;;;0;3;;4;2;2;2;2;2;2;2;2;3;3;4;3;3;3;;;;1;59;5;6;3;1;0;6;1;6;2;2;2;;;;3;1;1;3;3;5;5;5;5;;;;;2;2;5;4;3;2;2;2;1;1;1;3;3;2;2;2;2
8;1;1;2;8;38;11;4;1;5;3;7;6;9;2;;2;3;;2;3;;3;3;3;3;3;3;3;3;3;3;3;7;4;2;3;3;3;3;4;4;4;60;1;;;;;1;1;2;4;2;2;2;2;2;2;2;2;2;2;2;1;1;5;;;;1;38;11;3;2;0;0;5;4;2;3;3;3;;;;1;1;1;3;4;3;3;3;2;;;;;2;2;3;5;2;2;2;2;3;2;2;2;3;3;2;3;2
9;1;1;1;9;45;2;1;7;7;3;10;1;7;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;4;2;3;1;6;1;6;0;;;;;;1;5;;4;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;45;2;8;5;1;0;3;1;1;1;1;3;;;;;;;;;;;;;6;;;6;3;3;3;5;2;2;2;2;2;2;2;4;2;2;4;3;3
10;1;1;2;9;69;11;2;7;7;3;1;4;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;1;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;69;11;4;2;0;0;4;1;1;1;1;1;;;;;;;;;;;;;5;;;5;2;1;5;5;2;1;2;1;1;1;1;4;3;2;3;4;4
