SERIAL;JOURV8;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B5Q;B5AQ;B5BQ;B5CQ;B6Q_0;B6Q_1;B6Q_2;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;Q411;Q412;Q413;Q414;Q415;Q416;Q417;Q418;Q419;Q4110;Q4111;Q4112;Q4113;Q4114;Q4115;Q4116;Q4117;Q4118;Q4119;Q4120;Q4121;Q4122;Q4123;Q4124;Q4125;Q4126;Q4127;Q4128;Q4129;Q4130;Q4131;Q421;Q422;Q423;Q424;Q425;Q426;Q427;Q428;Q429;Q4210;Q4211;Q4212;Q4213;Q4214;Q4215;Q4216;Q4217;Q4218;Q4219;Q4220;Q4221;Q4222;Q4223;Q4224;Q4225;Q4226;Q4227;Q4228;Q4229;Q4230;Q4231;Q43_0;Q43_1;Q43_2;Q44_0;Q44_1;Q44_2;Q45;Q46;Q47Q_0;Q47Q_1;Q48Q_0;Q48Q_1;Q410V1Q;Q410V2Q;Q411V1Q;Q411V2Q;Q412V;Q413V;D70V;D71V;D72_0;D72_1;D72_2;D72_3;D72_4;D72_5;D72_6;D73
1;1;2;1;7;75;1;5;3;3;1;5;1;6;2;;1;3;;2;9;1;1;1;1;1;1;2;2;1;150;10;;25;;2;0;1;4;3;4;4;2;;;;1;75;1;3;1;0;0;6;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;1;;;;2;;2;;;;;;;;7;1;1;3;3;3;6;4;0;100;0;100;;50;;;2;2;1;2;3;1;1;1;1;1;1;1
2;1;1;2;5;44;7;4;1;5;7;3;4;2;2;;4;3;;2;6;2;3;3;4;2;1;1;2;3;90;10;;3;1;1;4;4;4;4;4;4;2;;;;1;44;7;4;4;2;0;5;2;1;;;;;;;;1;;;;2;2;;;;;;;;;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;1;3;3;3;6;2;30;70;100;0;50;;30;;2;1;4;2;3;3;3;1;3;1;2;1
3;1;1;1;10;10;6;4;7;7;3;1;9;6;2;;2;3;;2;6;1;1;1;1;1;1;1;1;1;75;0;;;;1;0;0;4;4;4;4;;;;;1;10;6;6;2;0;2;6;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;1;7;8;0;100;0;100;;;;;2;3;3;2;1;1;1;1;1;1;1;1
4;1;1;1;10;38;11;3;7;7;3;1;4;8;2;;2;3;;2;10;1;1;2;3;1;1;1;2;2;180;4;;65;68;5;0;0;4;4;4;4;;;;;1;38;11;5;2;0;0;5;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;1;1;1;1;1;1;7;4;20;80;50;50;;;;;2;2;4;3;1;1;3;3;3;1;2;1
5;1;1;2;4;1;11;4;1;3;3;3;5;4;2;;2;3;;2;4;2;3;2;4;3;1;1;6;2;540;200;;11;15;0;0;5;3;3;4;3;1;;;;1;1;11;5;2;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;7;1;1;1;3;3;6;5;20;80;50;50;0;;;;2;3;4;2;3;1;3;2;3;3;1;1
6;1;1;2;2;72;7;2;5;8;1;7;10;9;2;;2;3;;2;8;2;2;1;2;2;2;2;1;2;0;1;19;;;0;20;0;4;4;4;4;;;;;2;72;7;5;6;0;0;7;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;7;7;1;2;2;1;1;10;90;10;90;;;;;2;4;4;3;2;3;3;3;2;2;2;4
7;1;1;1;4;30;10;4;1;5;1;1;3;10;2;;2;3;;2;8;2;2;2;2;2;2;2;2;2;150;10;;35;55;4;6;20;3;2;2;2;1;;;;1;30;10;5;1;0;0;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;2;1;1;3;2;1;5;1;50;50;70;30;0;;;;1;3;4;2;1;3;2;1;3;3;2;1
8;1;1;2;4;95;1;5;2;4;3;1;8;6;2;;2;1;;2;7;1;2;1;1;2;1;1;1;1;0;0;;;;0;0;3;4;4;4;4;1;3;;;1;95;1;5;4;2;0;5;2;2;1;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;7;3;20;80;50;50;0;;;;2;2;2;2;1;1;1;3;3;3;1;1
9;1;1;2;10;92;1;5;7;7;3;1;5;6;2;;2;3;;2;7;1;1;1;1;1;1;1;1;1;0;0;;;;0;2;0;3;4;4;4;;;;;1;92;1;5;2;0;1;6;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;1;1;1;8;9;0;100;;;;;;;2;3;4;3;1;1;1;1;1;1;2;1
10;1;3;2;9;56;8;2;7;7;3;1;2;8;2;;2;3;;2;7;2;2;1;1;1;2;1;1;1;0;0;;;;0;0;0;4;4;4;4;;;;;1;56;8;7;2;0;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;2;;;;;;;;;2;2;2;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;3;3;3;1;1;1;4;1;;;;;;;;;2;4;4;1;3;2;2;3;2;2;2;2
