SERIAL;JOURV3;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D15;D16Q_0;D16Q_1;D16Q_2;D16Q_3;D17;D18_0;D18_1;D18_2;D19_0;D19_1;D20;D21_0;D21_1;D21_2;D21_3;D22_0;D22_1;D22_2;D22_3;D22_4;D23_0;D23_1;D23_2;D23_3;D24;D25Q_0;D25Q_1;D25Q_2;D26;D27;D28_0;D28_1;D28_2;D28_3;D29_0;D29_1;D29_2;D29_3;D29_4;D29_5;D29_6;D29_7;D29_8
1;1;2;1;6;62;5;3;4;5;3;5;8;6;2;;1;;2;2;;2;2;2;1;2;2;2;1;2;2;2;8;1;1;1;2;1;1;2;2;1;60;1;;;;;0;4;;2;2;2;2;2;1;2;2;1;1;1;1;5;;;;1;62;5;3;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;2;5;5;5;5;5;5;5
2;1;2;2;2;57;6;2;1;5;3;1;2;6;2;;3;;1;2;;2;2;2;2;2;2;2;1;2;2;2;8;2;2;1;2;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;57;6;4;2;1;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;2;4;5;5;4;5;5;5
3;1;2;1;5;35;8;3;1;5;5;7;8;2;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;3;3;4;1;1;3;4;660;4;;;;;6;3;;2;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;35;8;4;1;0;0;5;1;1;0;1;1;4;3;3;3;5;5;1;3;3;3;3;3;4;3;3;3;1;2;;;4;1;0;1;1;4;4;;4;4;3;3;2;2;5;2;5;5;5
4;1;1;2;6;33;9;4;1;3;3;8;9;3;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;3;120;1;5;;;;1;4;2;2;2;2;2;2;2;2;2;3;3;2;2;3;;;;1;33;9;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;4;4;2;5;4;3;5;4
5;1;1;2;8;92;1;5;1;4;3;5;10;2;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;1;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;3;5;;;;1;92;1;3;3;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;4;4;4;4;4;4;4;4
6;1;1;2;2;78;1;5;1;4;1;5;3;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;6;3;2;2;1;1;2;6;10;5;;;;;0;5;2;2;2;2;2;2;2;2;2;3;3;4;3;3;;;;1;78;1;1;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;2;5;5;5;2;5;5;5
7;1;2;2;4;3;11;1;1;4;5;2;1;8;2;;3;;2;2;;2;1;2;2;2;2;2;2;2;2;2;8;1;2;2;1;2;1;1;2;2;585;3;4;;;;25;4;2;2;2;2;2;2;2;2;2;3;4;4;4;8;;;;1;3;11;7;4;3;0;5;1;1;1;0;0;2;2;2;1;1;1;1;2;3;3;1;5;1;5;3;3;2;;;;5;1;1;1;1;1;1;1;;;5;2;2;5;5;5;5;5;5
8;1;2;2;3;31;10;4;1;5;3;8;5;11;1;5;1;;2;2;;3;2;2;1;2;2;1;2;1;2;2;9;1;4;1;1;2;1;1;2;2;60;1;;;;;6;2;1;3;2;2;2;2;2;2;2;1;3;3;4;1;;;;1;31;10;4;2;2;0;5;1;2;0;0;0;1;3;3;3;1;2;1;3;3;3;3;3;2;3;4;2;2;;;;1;0;0;1;1;4;2;;;;3;3;4;4;4;3;4;4;3
9;1;1;2;1;58;3;1;4;8;1;2;5;10;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;10;1;3;3;1;6;6;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;1;1;4;1;;;;;1;58;3;4;4;1;0;5;1;0;0;0;1;4;3;3;3;5;5;1;3;2;3;3;4;2;4;4;1;2;;;;2;2;2;2;1;5;;;;5;3;5;5;5;5;3;5;5;5
10;1;2;2;6;75;1;5;1;3;3;1;7;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;1;1;1;1;1;2;3;60;1;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;3;4;3;;;;1;75;1;4;4;1;0;6;1;2;0;0;0;1;3;3;2;1;1;1;3;2;3;2;2;4;2;2;4;2;3;;;1;2;1;2;1;2;1;;;;4;4;4;4;2;2;4;2;2
11;1;2;2;3;27;4;1;1;3;2;1;2;8;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;1;2;7;1;1;2;2;4;1;1;6;2;600;4;;;;;20;2;2;2;2;2;2;2;2;1;3;4;2;3;4;1;8;;;1;27;4;4;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;1;3;5;2;2;5;5
12;1;2;2;1;62;5;3;4;8;2;5;1;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;5;1;5;3;1;1;1;6;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;3;2;3;4;;;;;1;62;5;8;4;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;2;1;5;5;2;1;2;5
13;1;2;2;4;59;5;4;2;5;3;7;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;3;4;5;;;;1;59;5;6;4;2;0;5;1;0;1;1;0;2;5;2;1;1;1;1;3;3;3;3;2;2;2;2;4;3;;;;5;2;1;3;1;4;;4;4;;5;4;4;5;5;4;5;5;5
