SERIAL;JOURV5;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D42_0;D42_1;D42_2;D42_3;D42_4;D42_5;D42_6;D42_7;D42_8;D42_9;D42_10;D43;D44_0;D44_1;D44_2;D44_3;D44_4;D44_5;D45_0;D45_1;D45_2;D46Q_0;D46Q_1;D46Q_2;D46Q_3;D46Q_4;D46Q_5;D46Q_6;D46Q_7;D47Q_0;D47Q_1;D47Q_2;D47Q_3;D47Q_4;D47Q_5;D47Q_6;D47Q_7;D48;D49_0;D49_1;D49_2;D49_3;D49_4;D49_5;D49_6;D49_7;D50Q_0;D50Q_1;D50Q_2;D51Q_0;D51Q_1;D51Q_2
1;1;2;2;1;21;3;4;8;8;1;2;4;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;1;1;4;1;1;2;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;3;1;;;;;1;21;3;2;1;0;0;4;1;5;;1;2;1;1;2;2;1;1;3;1;2;1;1;1;1;1;2;2;7;6;9;8;;5;7;5;9;8;8;9;10;7;9;8;2;2;2;2;2;2;2;2;2;8;1;;2;1;
2;1;2;2;5;34;10;1;1;6;2;1;5;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;3;4;510;4;;;;;2;0;0;5;4;2;2;2;2;2;2;2;2;2;4;3;4;4;4;1;;;;2;30;10;2;2;0;0;4;3;3;3;3;3;3;3;2;2;3;3;2;3;2;1;3;1;1;3;2;2;7;8;8;8;;5;2;5;7;8;5;7;5;5;3;5;2;2;3;2;2;2;2;2;3;7;1;;7;1;
3;1;2;1;1;68;6;2;1;3;1;1;6;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;6;2;1;1;1;1;1;6;0;;;;;;0;0;0;0;3;;2;3;2;2;2;2;2;2;3;4;4;3;4;3;;;;1;68;6;6;4;0;0;5;4;2;3;3;3;2;2;2;3;2;3;4;3;4;2;4;3;2;2;2;1;6;5;7;8;6;6;5;4;4;3;6;5;4;7;5;6;2;2;3;3;3;2;1;4;2;8;1;;4;2;
4;1;2;2;1;17;9;4;8;8;1;3;8;5;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;7;2;5;3;5;2;2;2;2;4;0;;;;;;0;0;0;0;5;2;2;2;2;2;2;2;2;2;1;1;2;1;1;;;;;1;17;9;2;1;0;0;5;2;1;;2;2;2;2;1;1;2;1;2;2;2;2;2;6;2;4;2;1;7;8;9;9;7;7;4;4;7;6;6;5;5;4;5;4;1;2;5;2;2;2;3;5;3;;;;;2;
5;1;2;1;6;7;11;1;3;1;1;4;8;7;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;8;3;2;1;1;2;1;1;1;1;0;;;;;;2;5;0;0;2;;2;2;1;2;2;2;2;2;4;3;3;4;3;2;;;;1;7;11;1;2;0;0;5;2;2;2;2;2;2;3;3;3;2;2;2;3;2;1;3;2;1;5;2;2;0;1;9;8;2;0;6;7;0;3;3;1;0;1;6;3;1;2;4;2;3;4;2;4;4;9;1;1;10;1;0
6;1;2;2;4;33;9;2;2;4;3;1;6;3;2;;2;3;;2;2;;2;3;2;2;2;2;2;2;3;2;2;6;1;2;3;3;1;1;1;1;1;60;1;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;4;5;;;;1;33;9;5;3;1;0;6;4;3;3;3;3;2;2;2;2;4;3;2;3;3;3;3;1;2;3;2;3;5;7;5;6;5;4;1;6;5;5;5;5;5;5;5;5;2;4;4;2;3;3;2;5;3;7;1;1;;3;3
7;1;1;1;9;56;8;2;7;7;4;1;8;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;4;;1;2;2;2;2;2;2;2;5;5;5;5;5;;;;;1;56;8;5;1;0;0;3;2;1;;2;3;3;3;2;3;3;1;2;6;3;3;3;3;3;4;1;2;1;3;8;8;5;6;0;10;5;5;5;5;5;5;5;5;2;4;4;2;2;3;2;3;1;0;1;0;0;1;0
8;1;1;1;6;16;9;4;7;7;5;3;2;4;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;1;90;1;3;;;;1;0;0;0;3;;2;2;2;2;2;2;2;2;3;4;1;1;2;;;;;1;16;9;2;1;0;0;3;3;3;;2;3;3;3;2;3;3;3;1;3;3;1;3;4;5;5;5;2;;6;10;;;;;9;;;;;;;;;3;2;2;5;3;3;2;5;2;;1;;0;1;
9;2;2;1;1;85;7;1;8;8;1;1;9;3;2;;1;1;;2;2;;2;2;2;2;2;3;2;3;2;2;2;10;3;3;3;6;2;4;4;5;4;125;3;;;;;2;1;2;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;85;7;11;3;2;0;3;1;1;;1;1;1;1;3;1;1;1;2;6;6;6;6;6;2;6;2;3;0;0;1;0;0;0;0;0;;;;;;;;;1;2;2;2;3;4;3;3;3;0;0;0;0;0;0
10;1;2;2;4;71;3;3;1;6;7;8;7;11;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;1;2;8;1;3;2;1;1;1;1;2;6;0;;;;;;0;0;0;0;4;2;2;1;2;2;2;2;2;2;4;3;4;4;1;4;;;;1;71;3;4;4;2;2;4;3;2;4;1;3;4;2;3;1;2;4;2;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;2;5;4;5;5;3;2;5;5;;2;4;;3;20
11;1;1;1;9;77;1;1;7;7;5;2;9;8;2;;2;2;;2;2;;2;2;2;2;2;2;2;1;2;2;2;8;2;2;1;1;1;1;1;2;1;0;;;;;;0;1;0;0;4;;2;2;2;2;2;2;2;2;4;2;4;3;1;;;;;1;77;1;7;1;0;1;4;2;3;;2;3;3;3;3;2;3;3;2;3;3;2;3;3;2;1;3;5;1;6;8;9;1;2;1;7;3;8;5;5;;5;;;1;2;3;2;3;2;3;2;2;;2;;0;0;0
12;1;1;2;6;95;1;5;1;4;3;5;10;7;2;;2;2;;1;2;;2;2;2;2;2;2;2;2;1;2;2;5;2;4;3;6;3;1;1;2;3;240;1;2;;;;100;0;1;1;3;2;2;2;2;2;2;2;2;2;3;1;2;3;1;3;;;;1;95;1;5;4;1;0;6;1;3;2;3;2;1;2;3;3;2;2;3;2;2;2;2;1;1;3;2;2;2;8;9;9;5;2;1;5;0;0;0;0;0;0;0;0;2;2;3;2;3;3;2;3;2;10;1;1;12;1;1
13;1;1;1;3;96;12;1;3;2;2;1;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;3;1;2;2;60;5;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;3;3;2;;;;1;96;12;5;4;2;0;3;2;2;3;3;2;2;3;3;2;3;3;3;3;3;3;3;3;3;4;1;1;8;9;9;9;5;6;0;0;8;8;6;7;4;8;4;2;2;2;2;2;2;2;2;2;2;8;10;10;10;10;10
