SERIAL;JOURV6;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;C11;D52_0;D52_1;D52_2;D52_3;D52_4;D52_5;D52_6;D53_0;D53_1;D53_2;D53_3;D53_4;D53_5;D53_6;D54_0;D54_1;D54_2;D54_3;D54_4;D54_5;D54_6;D55_0;D55_1;D55_2;D55_3;D55_4;D56_0;D56_1;D56_2;D56_3;D56_4;D56_5;D56_6;D57_0;D57_1;D57_2;D57_3;D57_4;D58_0;D58_1;D58_2;D58_3;D58_4;D59_0;D59_1;D59_2;D59_3;D59_4
1;2;1;1;2;38;11;4;1;4;1;3;1;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;3;3;4;2;1;1;2;2;0;;;;;;0;4;0;2;2;;3;2;2;2;2;2;2;2;3;4;4;3;4;1;;;;1;38;11;2;1;0;0;6;1;8;10;7;9;2;3;1;2;2;2;2;;;;2;3;3;2;;;;3;3;3;3;3;2;3;2;2;1;2;3;2;2;2;2;2;2;3;3;3;2;2;3;3;3;3
2;3;1;1;1;59;5;4;8;8;1;3;4;9;1;3;;2;;2;2;;1;1;1;1;1;1;1;1;1;1;1;8;3;2;3;1;3;1;2;2;2;180;4;;;;;20;0;1;0;2;;2;2;2;2;2;2;2;2;2;3;3;3;1;;;;;1;59;5;2;1;1;0;6;2;3;9;7;3;3;6;4;;3;3;;;3;;;3;3;;;3;;3;3;2;3;3;2;2;2;5;3;5;5;3;2;3;2;2;2;2;2;2;2;1;2;1;3;1
3;2;1;2;6;6;12;4;3;2;1;1;3;10;2;;2;3;;1;2;;2;2;1;2;2;2;2;2;2;2;2;9;1;1;2;1;1;1;1;2;1;0;;;;;;1;0;1;0;2;2;2;2;2;2;2;2;2;2;4;3;4;3;3;2;;;;1;6;12;2;1;0;0;5;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;3;3;3;2;1;1;3;5;1;1;2;1;3;2;2;3;2;2;2;2;2;2;2;2;3;1;1
4;2;1;1;3;42;11;4;2;5;3;2;7;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;1;1;1;1;3;2;2;60;5;;;;;0;0;2;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;4;5;;;;1;42;11;4;4;2;0;6;1;3;2;0;5;2;9;5;;;;;;2;;;;;;;3;;3;3;3;3;2;5;5;5;5;5;5;5;2;1;4;2;3;2;1;1;1;3;3;3;4;3;2
5;2;1;1;6;32;10;1;1;4;3;4;8;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;2;1;1;2;4;0;;;;;;2;2;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;32;10;7;4;1;0;5;5;9;5;8;9;10;10;5;2;;3;3;1;1;;2;;3;2;1;1;;3;3;1;2;3;5;4;5;5;5;4;5;1;2;2;2;1;4;4;3;3;2;3;3;3;1;2
6;2;1;1;10;69;11;4;7;7;5;4;8;3;2;;4;3;;2;2;;2;2;2;1;2;2;2;1;2;2;2;7;2;3;2;2;2;1;1;2;2;150;3;;;;;1;2;0;0;3;;2;2;2;2;2;2;2;2;1;2;3;3;2;;;;;1;69;11;5;1;0;1;6;4;7;3;5;6;7;6;5;2;;;3;2;2;;2;;;3;2;2;;3;2;2;2;3;3;1;2;5;3;2;5;2;2;2;2;2;3;3;4;4;3;2;2;2;3;4
7;2;1;1;10;95;1;1;7;7;3;6;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;3;2;2;4;1;1;1;2;3;120;1;;;;;15;4;4;0;2;;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;95;1;6;2;0;0;4;;0;0;2;5;7;1;0;;;;;3;;;;;;;3;;;3;4;4;3;4;2;5;5;5;2;5;5;4;4;3;4;4;1;4;2;2;2;2;4;4;4;4
8;2;2;2;2;76;4;1;1;4;7;8;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;1;62;1;4;;;;10;0;1;5;4;2;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;76;4;5;3;1;0;4;;6;8;4;7;10;4;0;3;2;;3;1;;;4;4;;3;2;;;2;2;2;3;1;3;2;5;5;4;2;2;1;3;2;2;1;1;2;2;2;2;2;2;2;3;3
9;3;1;2;2;84;12;2;2;4;7;2;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;1;45;1;;;;;0;0;2;0;3;2;2;2;2;2;2;2;2;2;3;4;4;3;3;5;;;;1;84;12;3;4;2;0;6;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;4;4;4;4;2;4;2;1;2;4;5;1;1;2;1;2;2;1;1;1;1;1;3;3;3;2;2
10;2;1;2;4;10;6;4;1;4;7;3;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;2;1;2;3;2;0;;;;;;0;0;0;2;4;2;2;2;2;2;2;2;2;2;4;3;4;4;4;3;;;;1;10;6;7;2;0;0;6;4;5;1;7;6;6;2;5;;;3;3;3;;;;;3;3;3;;;3;3;3;2;3;2;5;3;5;2;5;5;2;2;3;3;3;2;2;2;2;2;3;3;3;2;3
11;1;1;1;4;31;10;2;4;5;3;3;4;8;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;3;1;6;1;1;1;1;1;2;6;0;;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;3;3;5;;;;1;31;10;3;2;0;0;6;4;0;0;7;7;4;2;0;;;4;4;;;;;;3;3;;;;4;4;4;4;4;5;2;5;5;5;5;5;2;2;2;2;2;2;2;2;3;1;2;3;3;3;3
12;2;2;2;5;26;11;2;1;4;3;2;7;8;2;;2;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;7;2;3;1;2;1;1;1;2;3;70;1;;;;;5;0;1;0;2;2;2;2;1;2;2;2;2;2;4;3;3;4;1;3;;;;1;26;11;8;4;2;0;6;4;3;4;3;3;10;8;2;;;;;3;3;;;;;;1;2;;4;4;2;2;2;2;1;5;3;2;3;4;1;2;2;2;2;2;3;2;2;3;2;3;3;1;1
13;2;2;2;6;62;5;4;6;8;6;5;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;1;6;45;1;;;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;62;5;4;4;0;0;1;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;2;2;2;4;2;5;5;5;2;4;5;3;2;2;2;2;2;3;3;3;3;3;2;5;2;3;2
14;2;1;1;1;95;1;5;1;2;3;4;7;3;1;2;;1;;1;1;37.0;1;1;2;1;1;1;1;2;1;1;2;8;1;2;1;1;1;1;1;1;1;120;2;;;;;12;2;4;0;2;;2;2;1;2;2;2;2;2;2;1;4;2;3;1;;;;1;95;1;5;5;2;0;5;4;7;4;10;3;9;2;2;1;;3;;1;;;2;;3;;1;;;3;1;1;1;2;1;4;4;3;2;2;4;1;1;3;2;1;1;3;3;2;1;1;1;1;3;2
15;2;2;1;4;59;5;2;1;6;2;8;4;11;1;3;;1;;2;2;;2;2;1;2;1;2;2;1;1;2;2;9;1;1;4;1;1;1;1;3;1;300;4;;;;;1;0;0;20;2;;2;2;2;2;2;2;2;1;3;4;4;3;2;8;;;;1;59;5;7;3;1;0;5;5;10;0;10;10;10;0;0;2;;3;1;1;;;1;;3;1;1;;;4;4;2;2;4;3;1;1;3;4;3;1;3;1;4;3;3;3;1;1;1;1;1;1;3;3;1
16;4;1;2;10;95;1;5;7;7;3;1;3;4;2;;2;3;;2;2;;2;2;2;1;1;2;2;2;1;2;2;10;1;1;1;1;2;1;1;2;2;105;1;;;;;4;2;2;0;3;2;2;2;2;2;2;2;2;1;2;2;3;2;1;;;;;1;95;1;8;3;1;2;6;4;0;0;0;3;0;0;0;;;;;;;;;;;;;;;1;2;2;1;1;1;3;1;1;1;1;2;1;2;2;1;1;1;1;2;2;1;2;2;2;3;3
17;2;2;2;1;79;9;1;8;8;1;1;6;2;1;5;;2;;1;1;38.0;2;2;2;2;2;2;2;2;2;2;2;5;3;4;3;3;4;3;4;4;4;155;1;;;;;5;0;1;0;2;2;2;2;2;2;2;2;2;2;2;2;4;2;3;;;;;1;79;9;8;4;2;0;4;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;2;2;3;3;2;3;3;4;3;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2
18;2;3;1;6;43;11;1;1;4;1;1;5;8;2;;2;3;;1;2;;2;3;2;2;2;2;3;2;2;1;2;9;1;3;3;2;1;1;1;3;3;480;4;;;;;0;0;0;9;2;;2;2;2;2;2;2;2;2;2;1;2;1;4;1;;;;1;43;11;5;1;0;0;6;2;3;0;2;2;6;2;0;;;;;3;;;;;;;3;;;3;3;2;1;1;4;2;2;3;4;3;2;2;1;3;2;2;3;2;2;3;3;2;2;3;4;3
19;2;2;2;4;27;4;3;1;4;7;5;7;6;2;;2;3;;2;1;0.0;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;6;1;420;4;;;;;60;0;0;3;4;2;2;2;2;2;2;2;2;2;4;3;4;3;4;1;;;;1;27;4;3;3;1;0;6;4;1;10;10;8;1;2;3;;4;4;2;;;;;4;4;3;;;;2;1;1;4;2;5;2;1;3;4;3;4;1;2;1;2;1;4;2;1;3;4;1;1;4;3;2
